,event,number_of_frames
68,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__15,264
69,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006083222672__20121006083223641@DVR-1_Ch2__20,35
70,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__37,294
71,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005211020969__20121005211021797@DVR-1_Ch2__40,231
72,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__25,625
73,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005204019766__20121005204020594@DVR-1_Ch2__34,177
74,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005211020969__20121005211021797@DVR-1_Ch2__42,318
75,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005204019766__20121005204020594@DVR-1_Ch2__37,212
76,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005222007469__20121005222008109@DVR-1_Ch2__25,162
77,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006073219515__20121006073220375@DVR-1_Ch2__25,208
78,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005185509797__20121005185510610@DVR-1_Ch2__20,342
79,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005211020969__20121005211021797@DVR-1_Ch2__17,223
80,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP056.550-077.465_D__DATA_20121004092958047__20121004092958781@DVR-1_Ch2__17,237
81,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006073219515__20121006073220375@DVR-1_Ch2__34,310
82,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP056.550-077.465_D__DATA_20121004092958047__20121004092958781@DVR-1_Ch2__10,379
83,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005133258672__20121005133259344@DVR-1_Ch2__11,421
84,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__5,253
85,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006024721594__20121006024722922@DVR-1_Ch2__12,365
86,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006080221000__20121006080221969@DVR-1_Ch2__10,152
87,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006073219515__20121006073220375@DVR-1_Ch2__20,143
88,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006083222672__20121006083223641@DVR-1_Ch2__19,291
89,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__8,800
90,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005094105938__20121005094107547@DVR-1_Ch2__22,277
91,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005222007469__20121005222008109@DVR-1_Ch2__38,74
92,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP056.550-077.465_D__DATA_20121004095959657__20121004100000391@DVR-1_Ch2__2,605
93,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005204019766__20121005204020594@DVR-1_Ch2__23,281
94,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006093224922__20121006093225906@DVR-1_Ch2__19,57
95,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005221023672__20121005221024500@DVR-1_Ch2__8,113
96,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006021720968__20121006021721781@DVR-1_Ch2__3,161
97,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006080221000__20121006080221969@DVR-1_Ch2__1,800
98,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005195511609__20121005195512922@DVR-1_Ch2__3,211
99,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121004184831937__20121004184832672@DVR-1_Ch2__8,27
100,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006073219515__20121006073220375@DVR-1_Ch2__26,254
101,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005211020969__20121005211021797@DVR-1_Ch2__6,88
102,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__6,800
103,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005204019766__20121005204020594@DVR-1_Ch2__0,108
104,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006051024047__20121006051024188@DVR-1_Ch2__21,518
105,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005204019766__20121005204020594@DVR-1_Ch2__25,362
106,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005143300859__20121005143302578@DVR-1_Ch2__18,139
107,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006100226016__20121006100226969@DVR-1_Ch2__12,626
108,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006073219515__20121006073220375@DVR-1_Ch2__31,550
109,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006073219515__20121006073220375@DVR-1_Ch2__35,458
110,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005214021969__20121005214022797@DVR-1_Ch2__15,800
111,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005201018343__20121005201018968@DVR-1_Ch2__8,373
112,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005201018343__20121005201018968@DVR-1_Ch2__27,553
113,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP056.550-077.465_D__DATA_20121004030925687__20121004030926625@DVR-1_Ch2__2,800
114,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006061027000__20121006061027515@DVR-1_Ch2__12,685
115,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006083222672__20121006083223641@DVR-1_Ch2__4,283
116,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005222007469__20121005222008109@DVR-1_Ch2__20,438
117,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121004194914766__20121004194915532@DVR-1_Ch2__12,607
118,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006061027000__20121006061027515@DVR-1_Ch2__2,123
119,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006021720968__20121006021721781@DVR-1_Ch2__10,25
120,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005214021969__20121005214022797@DVR-1_Ch2__32,238
121,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006024721594__20121006024722922@DVR-1_Ch2__7,273
122,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006080221000__20121006080221969@DVR-1_Ch2__14,197
123,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005204019766__20121005204020594@DVR-1_Ch2__39,85
124,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005204019766__20121005204020594@DVR-1_Ch2__14,83
125,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006051024047__20121006051024188@DVR-1_Ch2__20,134
126,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121004184831937__20121004184832672@DVR-1_Ch2__9,63
127,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP056.550-077.465_D__DATA_20121004092958047__20121004092958781@DVR-1_Ch2__18,280
128,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006083222672__20121006083223641@DVR-1_Ch2__13,343
129,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005182520328__20121005182508438@DVR-1_Ch2__2,396
130,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005204019766__20121005204020594@DVR-1_Ch2__8,144
131,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121005225008922__20121005225009750@DVR-1_Ch2__27,110
132,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006080221000__20121006080221969@DVR-1_Ch2__17,188
133,/media/raid/astamoulakatos/nsea_frame_sequences/centre_Ch2/exp_fs/Survey-2-2012__Project 1__IC2__KP078.553-119.732_A__DATA_20121006024721594__20121006024722922@DVR-1_Ch2__4,314
